-44,32,-13,-190,79,16347,-35,3877,-1441
-25,-20,-10,-209,109,16339,-55,3888,-1443
-32,-38,9,-191,91,16158,-72,3910,-1417
-32,-14,-6,-249,33,16374,-72,3910,-1417
-58,-52,-21,-270,58,16298,-75,3909,-1398
-57,-15,255,-153,48,16283,-58,3912,-1396
-55,-17,-23,-191,99,16283,-58,3912,-1396
-64,-29,-26,-257,108,16250,-82,3905,-1385
-73,-246,-16,-226,66,16241,-89,3895,-1435
-47,20,-13,-220,70,16297,-89,3895,-1435
-48,5,-39,-234,107,16332,-63,3904,-1385
-29,27,-26,-194,103,16284,-63,3904,-1385
-50,42,-32,-201,97,16283,-61,3915,-1397
-46,30,-20,-208,123,16281,-122,3935,-1399
-21,77,-14,-136,97,16217,-122,3935,-1399
-18,56,-14,-198,32,16286,-89,3931,-1365
-62,110,-37,-221,90,16226,-89,3953,-1381
-38,120,-54,-25,59,16528,-89,3953,-1381
-79,79,-130,-169,86,16367,-74,3915,-1432
-91,-13,-161,-219,39,16251,-52,3914,-1440
-29,78,-222,-148,57,16373,-52,3914,-1440
-46,10,-261,-173,82,16298,-74,3937,-1406
-49,4,-317,6,4,16257,-59,3926,-1414
-50,-9,-2080,18,-29,16293,-59,3926,-1414
-21,-146,-2164,-1061,888,16415,-75,3904,-1473
-26,-145,-1618,84,-185,16318,-75,3904,-1473
-43,-177,-1862,245,-152,16396,-92,3941,-1415
-70,-128,-2302,-83,-266,16298,-73,3917,-1441
-48,-148,-2172,-263,55,16364,-73,3917,-1441
-29,-106,-2370,65,-123,16133,-91,3941,-1439
-49,-142,-2602,233,-337,16328,-132,3916,-1438
-35,-139,-2806,-519,234,16119,-132,3916,-1438
-105,-114,-2935,-76,245,16195,-112,3916,-1465
-101,-68,-3336,36,75,16399,-117,3916,-1465
-122,-105,-3569,-134,189,16350,-117,3916,-1465
-299,-50,-4655,616,-265,17210,-138,3906,-1447
-390,-93,-4762,-1290,253,16349,-175,3912,-1472
-263,-324,-4464,-826,207,16128,-175,3912,-1472
-261,-350,-4519,-394,251,16116,-151,3904,-1464
-329,-173,-4570,-297,266,16219,-151,3904,-1453
-337,-160,-4114,-560,404,16254,-141,3865,-1453
-354,16,-3852,-295,147,16328,-188,3857,-1464
-259,-21,-3638,-216,-100,16332,-188,3857,-1464
-45,-132,-3510,-254,213,16261,-164,3853,-1462
-145,-276,-3377,-732,227,16342,-137,3872,-1426
-313,-160,-3593,-593,183,16119,-137,3872,-1426
-488,-26,-3725,-716,162,16093,-182,3833,-1450
-699,37,-3958,-543,163,16187,-184,3831,-1493
-827,50,-4175,-380,197,16382,-184,3831,-1493
-678,61,-4392,-245,187,16340,-206,3818,-1473
-473,-28,-4498,-287,393,16277,-189,3798,-1485
-376,-122,-4465,-74,308,16339,-189,3798,-1485
-354,-125,-4399,-347,347,16165,-197,3777,-1473
-323,-94,-4294,-131,336,16422,-197,3788,-1459
-329,-107,-4048,-489,345,16410,-205,3788,-1459
-388,-227,-3824,-78,405,16270,-217,3766,-1439
-368,-312,-3696,-347,326,16095,-217,3766,-1439
-374,-222,-3554,-53,358,16303,-242,3740,-1502
-214,-186,-3513,-271,263,16596,-235,3761,-1467
-39,-303,-3247,-91,325,16366,-235,3761,-1467
-337,-376,-3276,351,260,16299,-235,3714,-1433
-686,-190,-3748,149,373,16087,-264,3714,-1439
-695,-17,-4035,86,507,16291,-264,3714,-1439
-463,-219,-3964,208,374,16304,-266,3716,-1483
-346,-233,-3865,-478,271,16205,-268,3667,-1492
-430,-153,-3925,83,211,16196,-268,3667,-1492
-468,8,-4374,189,-34,16087,-254,3683,-1464
1220,2823,-8310,48,-51,16235,-266,3673,-1506
